date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:59	267/267	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2010:15:58%20GMT	https://metaverse.aavebot.org/{{scan}}address/{{address}}	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/metaverse.aavebot.org/{{scan}}address/{{address}}	(from https://metaverse.aavebot.org/)
11:16:00	1634779/1634779	---M--	200	added ('OK')	application/pdf	etag:%2218f1db-5c86c9c307d80%22	https://metaverse.aavebot.org/papers/158.pdf	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/metaverse.aavebot.org/papers/158.pdf	(from https://metaverse.aavebot.org/)
11:16:00	13360/13360	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-3430%22	https://cdnjs.cloudflare.com/ajax/libs/crypto-js/3.1.2/rollups/aes.js	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/cdnjs.cloudflare.com/ajax/libs/crypto-js/3.1.2/rollups/aes.js	(from https://metaverse.aavebot.org/)
11:16:01	1337884/1337884	---M-Z	200	added ('OK')	application/javascript	etag:%22606b8a3c-146a1c%22	https://cdnjs.cloudflare.com/ajax/libs/web3/1.3.5/web3.min.js	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/cdnjs.cloudflare.com/ajax/libs/web3/1.3.5/web3.min.js	(from https://metaverse.aavebot.org/)
11:16:01	267/267	---M-Z	200	added ('OK')	application/javascript	etag:%2210b-5c864f4638180-gzip%22	https://metaverse.aavebot.org/assets/js/addr.min.js?v=1	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/metaverse.aavebot.org/assets/js/addr.min3860.js	(from https://metaverse.aavebot.org/)
11:16:01	4198/4198	---M-Z	200	added ('OK')	application/javascript	etag:%221066-5d1720805c489-gzip%22	https://metaverse.aavebot.org/assets/js/chain.min.js?v=1	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/metaverse.aavebot.org/assets/js/chain.min3860.js	(from https://metaverse.aavebot.org/)
11:16:01	14668/14668	---M-Z	200	added ('OK')	application/javascript	etag:%22394c-5d172090b0e0d-gzip%22	https://metaverse.aavebot.org/assets/js/script.min.js?v=1	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/metaverse.aavebot.org/assets/js/script.min3860.js	(from https://metaverse.aavebot.org/)
11:16:02	40157/40157	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261656ca1-9cdd%22	https://www.statcounter.com/counter/counter.js	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/www.statcounter.com/counter/counter.js	(from https://metaverse.aavebot.org/)
11:16:03	49584/49584	---MCZ	200	added ('OK')	font/ttf	etag:W/%22c1b0-5d16ce8aedb80%22	https://metaverse.aavebot.org/assets/css/optimist-normal.ttf	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/metaverse.aavebot.org/assets/css/optimist-normal.ttf	(from https://metaverse.aavebot.org/assets/css/styles.css)
11:16:04	49528/49528	---MCZ	200	added ('OK')	font/ttf	etag:W/%22c178-5d16ce8aedb80%22	https://metaverse.aavebot.org/assets/css/optimist-bold.ttf	C:/Users/2021CQ/Desktop/cccccccccccccccccccccccccccccccccc/metaverse.aavebot.org/assets/css/optimist-bold.ttf	(from https://metaverse.aavebot.org/assets/css/styles.css)
